ticker,company_name,status,sector,industry,last_date,last_close,pe_ratio,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
GWRE,Guidewire Software,ok,Information Technology,Application Software,2026-01-02,187.6300048828125,178.69525,3506.0,False,True,-6.656380274448692,-7.898093580148413,-8.87323436389078,-12.61642892319369,-18.77840381609106,11.115719652147327,214.6769324070904,179.15176940675283,126.29140124958792,87.42198228754457,995.9696009641915,35.385295572379285,31.494876502041677,261.8800048828125,166.74000549316406,-28.35268008843432,12.528486686720708,1204295.0,-33.02305498237558
LIVN,LivaNova,ok,Health Care,Health Care Equipment,2026-01-02,60.63999938964844,14.649466,2567.0,False,True,-1.4464479234605476,-2.9138644276359926,-3.8681077529788888,-4.773870761555665,18.368143532099946,32.69146253236963,48.5571315051075,50.50061630491708,59.170445873479174,64.49671408337845,-13.284714535943964,40.17869270136431,23.771785634614957,64.05999755859375,33.849998474121094,-5.338742271754137,79.14328544507546,558780.0,42.43530548695371
GMED,Globus Medical,ok,Health Care,Health Care Equipment,2026-01-02,87.30000305175781,28.252428,3373.0,False,True,-0.011447150515875304,-1.1996350738702533,-1.2778437741923554,-1.9431604529476343,50.36169649819866,5.600586652186168,70.09458155840991,67.99709728840094,66.05100311291446,45.091117666059596,546.6666892722801,35.076367927717186,42.239714369866746,93.31999969482422,51.88999938964844,-6.450917984090276,68.24051662866918,1280675.0,-8.360825346008937
ARMK,Aramark,ok,Consumer Discretionary,Distributors,2026-01-02,36.58000183105469,29.983608,3032.0,False,True,-0.7596277120468731,-2.087791131033212,-3.073661356178392,-0.9522672343243777,-4.707386885070941,-0.6836394971225457,37.94597697163008,35.81155047786402,29.68127272083501,25.244007020009224,157.19723768312613,34.474741293567085,32.65996033744001,43.8922119140625,30.131874084472656,-16.659470471263887,21.399690336237118,1769315.0,36.244817909756044
EXEL,Exelixis,ok,Health Care,Biotechnology,2026-01-02,43.58000183105469,18.310925,6467.0,False,True,-0.5703855568239269,-3.945332032115434,-6.299713171827803,0.3222909962516063,5.392995016261581,29.31750992415545,39.36099598797194,32.4057255890924,24.900700604839688,13.574175709990163,195.45763953257415,64.4382999937661,61.812315180525374,46.61000061035156,32.380001068115234,-6.500748207722499,34.58925384029142,2542410.0,-2.0810962826609436
FLG,Flagstar Financial,ok,Financials,Regional Banks,2026-01-02,12.550000190734863,20.01212,8082.0,False,True,-0.31771216336963226,-1.3364785591600814,-2.33463176520583,0.720786225967629,7.717682004017923,37.60999829655769,11.621500873945624,11.939185353918056,22.0623097013516,16.950183568784606,1473.2047935383214,35.08550734961005,37.560965397891685,13.479999542236328,8.850861549377441,-6.899105215749719,41.7941080732148,4698320.0,-41.78983125883294
UNM,Unum,ok,Financials,Life & Health Insurance,2026-01-02,77.2300033569336,14.938105,9864.0,False,True,-0.34838276524697953,-1.7054808999558912,-2.302339816018195,3.943472657914593,-1.1478932423250265,8.147934394731827,76.08437353491308,65.09893427975847,45.478213718742325,19.151251019908468,2502.6398072964457,38.352531225854946,55.52196771643092,81.926025390625,68.13732147216797,-5.732027168778999,13.344642390264358,1449540.0,-25.20385777557018
G,Genpact,ok,Industrials,Data Processing & Outsourced Services,2026-01-02,45.90999984741211,14.809678,4635.0,False,True,-1.8597668973642567,-4.134473934999283,-4.5331675987912545,4.198816197138289,10.893715350986222,8.89208582320984,45.2159974451559,40.43316033441077,41.224694244421215,25.330601734585233,244.90881792157077,30.91752188559672,35.58648096254697,54.91609573364258,37.88999938964844,-16.39973812033614,21.16653625482702,1512430.0,-25.140337073451335
KNX,Knight-Swift,ok,Industrials,Cargo Ground Transportation,2026-01-02,52.22999954223633,59.352272,7850.0,False,True,-0.09563741053556507,-1.933906894023396,-2.5014003364225434,7.320324154576352,31.366536055999195,0.8908260093223097,45.64234966870798,48.67786744953861,49.433719592489254,20.09968373224234,3521.1551162452993,38.13916139328774,47.24574079462063,57.90388107299805,37.71715545654297,-9.798793147576397,38.478098122788715,2896500.0,-17.97686863455895
