ticker,company_name,status,sector,industry,last_date,last_close,pe_ratio,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg,high_52w,low_52w
CBOE,Cboe Global Markets,ok,Financials,Financial Exchanges & Data,2026-07-29,304.95001220703125,26.059727,752,True,False,2.5421154666308787,6.973727285242726,8.215055151482197,31.722180226662665,0.6419364146858619,26.829418743248468,269.9190937223889,240.33200003331402,216.64468191025105,216.64468191025105,124.74532684058191,24.989338291020445,81.9937901635306,-16.665072401196472,32.11305350904157,1092734.2,-72.6572116073607,365.9330139160156,230.82504272460938
CTAS,Cintas,ok,Industrials,Diversified Support Services,2026-07-29,218.1999969482422,44.53673,752,True,False,1.5355994162323805,5.968623703343834,8.363128867126601,29.051333442891945,25.58448564779976,-0.04959093593718267,189.09323271494063,196.81326600944854,180.28607547029534,180.28607547029534,78.51490238980399,22.42888714584367,88.81012114937683,-2.651383021857624,33.77761674519344,2462401.5,-79.9533098075192,224.14288330078125,163.10650634765625
ICE,Intercontinental Exchange,ok,Financials,Financial Exchanges & Data,2026-07-29,154.36500549316406,22.483988,752,True,False,1.0771374144265877,5.881756363210489,8.303519831073114,25.5918972368818,-0.8711978610485005,-14.471145103144355,157.85244823637464,159.778928080403,147.31102434117744,147.31102434117744,39.623061285371605,20.084423017941898,82.75215527981263,-17.039953316207416,25.5918972368818,4012310.85,-75.34794693187841,186.07150268554688,122.91000366210938
CME,CME Group,ok,Financials,Financial Exchanges & Data,2026-07-29,265.1300048828125,22.520374,752,True,False,1.973078801081729,3.84630739811318,6.375380773326245,21.2965516798455,-6.3351211113886645,0.4832989705984003,270.9317350841704,251.1077319749323,229.97733684296304,229.97733684296304,51.53627539415386,19.60680668937961,77.45140010091234,-16.41375124822117,21.296551679845503,2851446.05,-82.2082904216266,317.1933288574219,218.5800018310547
ABT,Abbott Laboratories,ok,Health Care,Health Care Equipment,2026-07-29,109.88500213623047,35.556637,752,True,False,2.437779038872634,6.622360507777447,9.262207884729312,19.370875733043015,17.90830266481489,-11.021090628727958,111.74207000126914,115.27977296745635,110.31579194170364,110.31579194170364,5.064102695032657,22.57774524325512,76.1075654756077,-17.709801099339717,34.04643418550779,12642626.85,-75.08558120577608,133.5335235595703,81.97532653808594
ALL,Allstate,ok,Financials,Property & Casualty Insurance,2026-07-29,276.69000244140625,6.122815,752,True,False,1.5674285306518376,6.431511767586051,9.87173904205003,14.628385468687188,28.53402439949333,47.00993064495482,209.81249969724624,198.96987115624415,178.80659451383227,178.80659451383227,162.1426569714377,24.404682600529757,71.25966048566745,0.0,47.82833701277315,1575260.95,-71.45114274558763,276.69000244140625,187.1697998046875
VLTO,Veralto,ok,Industrials,Environmental & Facilities Services,2026-07-29,98.90180206298828,25.530926,706,True,False,0.4385100405527087,7.478597773281281,8.50444367234433,12.146284024406807,15.709810226462896,-3.5606060436982334,96.19315522814554,98.97233289741425,94.86755808757317,94.86755808757317,28.716072945803983,22.99244422670003,68.2043499674516,-9.40409863023502,20.451895181889626,1778899.85,-48.485183131585515,109.16807556152344,82.10896301269531
L,Loews Corporation,ok,Financials,Multi-line Insurance,2026-07-29,119.55999755859375,15.214376,752,True,False,0.13400002568690894,1.4079694751746752,4.237141011036472,5.163158581347371,6.4599826563148,32.57371958997912,104.9965760670011,94.67198621894259,86.58431580218863,86.58431580218863,92.56417646513455,17.41906499346084,67.37585710377832,0.0,32.73522880293432,755212.3,-38.593955633402686,119.55999755859375,90.07405090332031
CDW,CDW Corporation,ok,Information Technology,Technology Distributors,2026-07-29,145.63999938964844,17.743607,752,True,False,1.1178231090723134,8.83275401173178,12.17746078380788,4.162488743069592,10.219351760303885,-18.332778170560548,137.9985888344901,160.8961809469884,178.86883872620604,178.86883872620604,-18.72664639061191,33.46313751333281,56.50610498110293,-18.512086591115157,47.5363078496647,1730861.45,-84.89024063711166,178.72589111328125,98.71468353271484
JNJ,Johnson & Johnson,ok,Health Care,Pharmaceuticals,2026-07-29,268.4849853515625,31.155743,752,True,False,0.657959094570848,1.9305207186437912,5.02874475734687,3.858641912930638,18.542981841641783,65.55971925073058,213.75313870868985,182.38982476466205,169.93621363538378,169.93621363538378,74.92716517878668,17.740083918063984,60.771259548802654,0.0,67.04708542508902,7856870.3,-79.8748618772541,268.4849853515625,160.72413635253906
DRI,Darden Restaurants,ok,Consumer Discretionary,Restaurants,2026-07-29,211.3800048828125,20.263662,752,True,False,2.125813724078651,7.676637721785262,8.99247304417008,3.592428068769582,8.437040489919688,7.372764475480986,194.06561103699698,185.12959164927204,171.04950590336577,171.04950590336577,37.96280730660111,25.582708624305685,62.66575267438676,-1.7972597231736138,27.848583273791256,1375454.75,-74.87412799294198,215.2485809326172,165.33621215820312
PSA,Public Storage,ok,Real Estate,Self-Storage REITs,2026-07-29,334.2699890136719,171.43077,752,True,False,1.1498737491851596,3.656033746489662,7.240929073704883,3.0266532399988,13.540832000112779,21.732122534985866,286.68642419482035,290.4250988599314,277.30021827778916,277.30021827778916,33.9743661485161,23.181665420274957,62.691383945398535,0.0,31.871779274608592,1159870.85,-69.7796526225312,334.2699890136719,253.48106384277344
CSCO,Cisco,ok,Information Technology,Communications Equipment,2026-07-29,115.68000030517578,38.431892,752,True,False,0.08651883763357571,1.3225910137933283,3.0924171188085214,-1.3485514367022833,33.67805212298332,73.84469261150176,83.95836188301207,70.39688240294437,62.62852487665542,62.62852487665542,140.60325011915188,25.443460464360523,44.319660734194876,-10.682496444656039,78.36151570026004,20440345.2,-73.80374965487373,129.51548767089844,64.85704040527344
