ticker,company_name,status,sector,industry,last_date,last_close,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
PGR,Progressive Corporation,ok,Financials,Property & Casualty Insurance,2025-10-30,206.97000122070312,11501,False,True,-0.48083857966552124,-4.441569453734074,-6.174348494174209,-15.988801798649154,-14.117541953377122,-13.553961305861684,255.33461788831005,227.59307600442267,156.74830258727832,27.32701380652747,730661.1128049382,28.448565150515652,20.248593832379214,290.8854675292969,206.97000122070312,-28.84828417911325,0.0,3991552.8,58.09025500051008
BX,Blackstone Inc.,ok,Financials,Asset Management & Custody Banks,2025-10-30,148.38999938964844,4620,False,True,-0.35589496764270034,-3.548915500330563,-4.252159323501403,-11.725167161344308,-12.387079372012122,-10.79182827140257,159.79404437304493,141.91409520173877,109.5106863823666,42.17430977632989,1018.3399387550834,44.66461072563936,42.65427962838885,194.80039978027344,118.50883483886719,-23.824591963350155,25.214292749911642,4060754.65,10.609809927817238
ROP,Roper Technologies,ok,Information Technology,Electronic Equipment & Instruments,2025-10-30,443.3999938964844,8489,False,True,-0.6453358632898976,-4.384020142798805,-7.617301068732019,-10.81061902183411,-18.072647251602646,-18.159903197802596,545.2503254803054,541.2070896156265,476.85922406433497,138.61764714818693,26964.046035910582,33.66101768717934,18.70827016752054,591.1190185546875,443.3999938964844,-24.989726268558023,0.0,1155760.9,24.45636463389618
URI,United Rentals,ok,Industrials,Trading Companies & Distributors,2025-10-30,858.9099731445312,7010,False,True,-1.3631520881259074,-4.6016007813888145,-6.058188273866616,-10.801521581397022,0.11283731677542708,5.064098788040194,777.0195660230173,712.6820840702853,483.4099993614634,127.11266299780357,5799.9055629798495,50.97080641234319,33.42668819734452,1020.0,549.4967651367188,-15.793139887791055,56.308467608690705,518992.6,-4.266072387159269
YUM,Yum! Brands,ok,Consumer Discretionary,Restaurants,2025-10-30,139.05999755859375,7075,False,True,-0.09340102057058264,-2.7416409890060556,-4.994191297704953,-9.22384271664014,-3.8696698371737948,5.122107333845394,142.77069249856044,136.23939110697145,122.99579003813919,46.33334915862066,3819.06789517812,29.2096947070835,43.8872946728246,160.95530700683594,121.4818115234375,-13.60334732380851,14.469808948942852,1566813.0,5.549290183321176
WTW,Willis Towers Watson,ok,Financials,Insurance Brokers,2025-10-30,317.0,6134,False,True,-0.17006000201246207,-3.0165776765110452,-4.339430463795713,-7.875619187104322,0.9799397335557014,9.746270829692726,318.31826964602527,289.0792289415363,244.325898844725,118.56952914563537,1088.4491123885048,26.043264856409294,27.85288270377734,349.92999267578125,288.90740966796875,-9.410451623188441,9.723734799435254,556607.8,102.75605192740738
RSG,Republic Services,ok,Industrials,Environmental & Facilities Services,2025-10-30,209.9199981689453,6877,False,True,-0.2755353116649317,-5.0307616064722005,-5.911883109373395,-7.3875523848754625,-8.957732001880492,5.834682296328131,228.4228665781211,205.35598779151263,154.8750979915546,50.37310094841695,1857.11356940048,28.7931480969848,22.997879883877545,256.7502746582031,195.9521026611328,-18.239620795576663,7.128219252624043,1262049.95,97.44852412537239
STZ,Constellation Brands,ok,Consumer Staples,Distillers & Vintners,2025-10-30,128.8800048828125,8467,False,True,-1.6032912759402662,-6.58161886718871,-7.758371201820746,-7.2472056758523635,-22.445534623257192,-44.55932756093808,179.0473762299435,210.88613949239135,216.58110483740546,69.49456203320351,9589.166109297226,32.7767131948958,15.474244995197253,240.13194274902344,128.8800048828125,-46.32950393546232,0.0,2755900.3,-9.655440002673533
CHD,Church & Dwight,ok,Consumer Staples,Household Products,2025-10-30,81.80000305175781,11501,False,True,-0.04886765386412639,-4.483881790352717,-5.662548823154223,-6.960868112653317,-12.709894727792237,-18.09355831747601,99.28270763989939,99.32464314455066,90.83301415413048,20.713157978753284,75843.96241583329,25.92530488696372,23.613677742686576,112.4820556640625,81.80000305175781,-27.277286524651828,0.0,2010480.7,73.9093541161574
AWK,American Water Works,ok,Utilities,Water Utilities,2025-10-30,126.69999694824219,4410,False,True,-2.583423553301112,-8.181758167609587,-11.137610239077544,-6.886168789313219,-12.554979533106936,-6.533084896019126,136.56951864782081,131.8009615797646,138.4459280876597,74.13669988454875,837.657395388282,23.232124159454216,20.803418672440344,150.19314575195312,118.8650131225586,-15.64195801751854,6.5914970434615165,1430939.55,60.02010706881362
