Date,Open,High,Low,Close,Volume
2023-06-09,374.98824640251894,375.7690533002218,372.26513245544146,374.79302978515625,1251400
2023-06-12,375.38832710580255,376.9206909170115,373.3582116394773,376.02276611328125,1159000
2023-06-13,377.00856036508765,381.58611264415106,375.58357449437625,381.1957092285156,1515300
2023-06-14,381.90817845918116,385.99771860892224,381.13711168576606,383.6650085449219,1498500
2023-06-15,385.031473178114,391.6489108387947,383.28441268510846,390.3898620605469,1465100
2023-06-16,392.2052937325174,393.2594158304136,385.52929632738113,385.7342529296875,1883500
2023-06-20,377.7698167311322,383.23555331849496,375.2126403806041,382.4449768066406,1500000
2023-06-21,379.97570367349437,382.0351287323597,377.17452101434964,379.7804870605469,1266700
2023-06-22,378.96061496134206,379.66335303817283,374.62706845186426,378.93133544921875,1143200
2023-06-23,376.6084130530237,382.97210532990374,375.7788169075149,381.0005187988281,1467600
2023-06-26,380.90294186369397,381.9668039078028,377.6527669181759,377.7308654785156,855900
2023-06-27,380.30748049211985,382.91347586100864,377.36967055476777,381.6348876953125,711300
2023-06-28,380.88332076948063,382.69873958521174,379.8585082249919,382.13262939453125,721100
2023-06-29,382.2009912174928,387.34462369934175,380.4831805398321,386.3490905761719,999700
2023-06-30,390.59484780584995,395.9239277888756,389.189371579533,391.278076171875,1349900
2023-07-03,388.81847547552843,389.54072333134854,384.8363127162014,387.40325927734375,713600
2023-07-05,385.9489207863005,391.71722257797666,383.4893525738877,390.0189514160156,1163000
2023-07-06,385.880615234375,387.9888294516082,383.137991734546,385.880615234375,1031400
2023-07-07,383.7919179995468,388.52563739072554,382.6011682741974,383.8211975097656,811600
2023-07-10,384.543467680178,391.16090544784123,384.543467680178,388.87701416015625,840800
2023-07-11,387.46179290722915,390.29225490394305,385.49997627667614,386.91522216796875,926600
2023-07-12,394.1378084702872,399.63282542324157,393.50339916606043,396.8121032714844,1952300
2023-07-13,400.15981340168594,403.6442239939674,397.51479839933353,402.1509094238281,1244800
2023-07-14,402.72675358766145,407.35309477741623,402.4046789850036,406.04522705078125,1282600
2023-07-17,406.718666763247,408.60241439618534,404.7763899002164,407.38238525390625,1189300
2023-07-18,407.7045224792629,412.1356773448428,407.01155416002734,411.7355041503906,1024100
2023-07-19,413.55087039618917,415.1417933190172,410.8570660410322,412.399169921875,1320200
2023-07-20,412.7700923769339,413.9413026782205,410.73020688359424,413.6289978027344,1085400
2023-07-21,414.595226053814,415.09300752816915,413.1116811822721,413.1409606933594,1351100
2023-07-24,414.22433263493184,415.30773411754615,410.95464822751364,412.6626892089844,1442200
2023-07-25,411.3157779186357,418.3724077560566,410.4275930857777,417.2792663574219,1353900
2023-07-26,417.80636970920233,418.37245021027053,415.2101437310591,418.1382141113281,1352600
2023-07-27,393.825442272739,402.5413240943793,384.3287238588374,386.19293212890625,3530000
2023-07-28,388.46712877438597,392.2052857314148,382.6207276645735,382.75738525390625,2418600
2023-07-31,382.3962100763066,385.79275239072604,378.7361223851685,385.0509948730469,1916200
2023-08-01,384.94363253253243,389.3064584299738,383.9383295970798,388.7598876953125,1221300
