ticker,company_name,status,sector,industry,last_date,last_close,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
TPL,Texas Pacific Land Corporation,ok,Energy,Oil & Gas Exploration & Production,2025-10-20,942.280029296875,11493,True,False,0.35145039263537736,1.6757517450094461,5.609545736384058,7.6768432847865276,0.6964006958984692,-9.608854052494408,1173.4657912597656,909.7839708156928,650.9770336880046,91.85639496923872,62860.32157769716,34.7863903314641,51.923080058100766,1720.8994140625,853.3648681640625,-45.244909632896594,10.419360399040736,125661.3,-50.24243740913074
RL,Ralph Lauren Corporation,ok,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2025-10-20,330.70001220703125,7134,True,False,0.8969985214207776,3.850021879044818,4.24613080547529,6.160930084650484,15.049722020646872,65.84558670765523,256.82373150634766,208.22020645293884,145.21437358552484,76.94187326260163,1297.1561463507403,39.35864565904493,64.5451626102585,330.70001220703125,181.18348693847656,0.0,82.52215905267633,497603.65,-66.18332683050055
FDX,FedEx,ok,Industrials,Air Freight & Logistics,2025-10-20,240.47500610351562,11981,True,False,1.124896138531839,1.9826136519309756,4.7137001936567335,3.7648354276227147,4.45232546679637,-9.448258347429583,242.24469500732422,249.2769447676912,232.4189668764734,71.12540757612318,31378.73568886331,33.82454290417806,54.71546435893339,298.1515197753906,195.54632568359375,-19.344698868322055,22.97597782155176,1627041.8,-72.51846879410229
UPS,United Parcel Service,ok,Industrials,Air Freight & Logistics,2025-10-20,87.08000183105469,6525,True,False,0.7753710688003457,3.555720803161422,4.688628891043933,3.5926770879999737,-12.275523912360608,-31.830880260355123,103.82300973510742,117.7997932205657,142.15550448788198,69.41597378259418,161.21864117558746,24.72753155527906,64.9034698084514,130.93161010742188,82.58000183105469,-33.49199497385655,5.449261201527062,6995507.85,-46.59634325190558
VTRS,Viatris,ok,Health Care,Pharmaceuticals,2025-10-20,10.244999885559082,11493,True,False,0.7374612458456165,2.6553141831444638,3.904667771677972,3.484851316388493,12.135399704386597,-9.14313769270585,9.925458917617798,10.180471702964006,10.437761441157882,12.215181684297981,900.0714259531751,45.02763029260552,63.21840760425931,12.871208190917969,7.077159881591797,-20.403743505694834,44.761458790934846,7286843.25,-59.185824396593134
ZBH,Zimmer Biomet,ok,Health Care,Health Care Equipment,2025-10-20,102.93000030517578,6096,True,False,0.9909754261928638,3.572150482863612,8.24482518584464,3.089197421646994,6.902170532500529,-1.4749501011778854,101.61960430908204,107.79989052960973,119.89630891714886,81.92667559188182,300.26464286082495,27.807232518166895,63.006466844820366,112.61158752441406,89.75694274902344,-8.597327710293868,14.676366142490597,1150195.15,-28.298863023374764
IFF,International Flavors & Fragrances,ok,Materials,Specialty Chemicals,2025-10-20,64.4800033569336,12818,True,False,1.1451033049938664,4.117556982386605,7.287861886882618,2.168408717009318,-15.638695635942657,-37.66736982903877,76.8190110168457,81.17197699175624,95.5807371473616,35.35804070817604,3463.994069338557,27.594332781742292,64.81855203097902,102.26094818115234,59.54999923706055,-36.945623423411725,8.278764371175495,2007651.05,-52.899135534534246
GEHC,GE HealthCare,ok,Health Care,Health Care Equipment,2025-10-20,75.66000366210938,713,True,False,2.174207351789348,3.3324261140770473,5.3173824038796,1.0012013927845453,-1.039982932057737,-15.994095050975377,77.76409397888183,79.29096646032886,77.4181345689514,77.4181345689514,26.610492554111744,32.29815534816483,52.08025715482514,93.38863372802734,58.69257354736328,-18.983712854766114,28.908989824843594,2925666.7,-64.80685923656307
GOOGL,Alphabet Inc. (Class A),ok,Communication Services,Interactive Media & Services,2025-10-20,256.7799987792969,5327,True,False,1.3738632789625171,2.290562892069059,5.173051484149305,0.8087301934365465,34.32092533691111,56.15911507384374,186.7774052734375,170.4145735780636,137.29572509352568,52.90508178020253,10196.691867913345,30.66120187413607,66.25476112427803,256.7799987792969,144.39588928222656,0.0,77.83054632352577,27031075.4,-42.6785365705428
ADI,Analog Devices,ok,Information Technology,Semiconductors,2025-10-20,246.05499267578125,11493,True,False,1.3114001822485122,3.319336125086325,4.851491283789744,0.2955165855441644,4.895169944517397,10.021450329956005,220.39334442138673,210.5088892344705,177.5354746435858,38.80866369908715,54847.74137016963,43.42553334907432,50.31744251445581,254.6230010986328,163.20851135253906,-3.3649781778876253,50.76112798081307,3074526.85,-60.724460741008
