ticker,company_name,status,sector,industry,last_date,last_close,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
FFIV,"F5, Inc.",ok,Information Technology,Communications Equipment,2025-11-04,241.3800048828125,6647,False,True,-3.0758065410479762,-5.9643918395647315,-9.79145788333361,-26.632217360847264,-24.85757973183711,3.206772637001576,284.8845828842832,235.42061936308048,199.27851940568087,95.14930073185865,3145.445443802521,58.78646017967619,10.778526840913145,343.1700134277344,231.1999969482422,-29.66168504299024,4.403117676878374,1198053.0,28.496819422846897
MOS,Mosaic Company (The),ok,Materials,Fertilizers & Agricultural Chemicals,2025-11-04,26.549999237060547,9517,False,True,-2.6045524059425618,-4.186213950696649,-9.632403010702506,-24.8726680180381,-13.575077856243345,2.2209659870659593,29.854621978395013,29.465102665914507,34.709292581886245,24.45559570966454,295.0106649802854,42.730991040854434,19.662906499200986,37.55366134643555,22.470624923706055,-29.301169885581412,18.15425395246055,5849496.55,37.130280040937876
BAX,Baxter International,ok,Health Care,Health Care Equipment,2025-11-04,17.940000534057617,11096,False,True,-1.4826939263564376,-6.367428617277748,-21.52230947039454,-22.505395984120646,-19.707251620499132,-48.60358454228978,28.752575665356154,32.517997010739265,48.849381175010826,20.82937956674974,1193.6206001237647,28.445672877369816,12.480491328404767,36.11411666870117,17.940000534057617,-50.324133084485545,0.0,7113378.8,39.63513372857355
GRMN,Garmin,ok,Consumer Discretionary,Consumer Electronics,2025-11-04,205.4499969482422,6263,False,True,-2.4175911941695105,-4.428526872773764,-17.187311064156784,-20.256953397325006,-10.370506957843551,5.175057669322758,215.9563434494444,181.86348313200259,137.40080523642766,51.27867243020808,3811.5611787378634,37.24766112515041,13.903464313024756,259.7699890136719,172.20875549316406,-20.91080354265665,19.302875373486835,872797.05,76.58641261447892
POOL,Pool Corporation,ok,Consumer Discretionary,Distributors,2025-11-04,258.0,7565,False,True,-0.5703757220844707,-6.926411025080115,-10.088869480912976,-16.04022492573699,-16.339703704700614,-27.60108827738228,320.6340004970353,339.32003199411724,361.369504965035,97.00457583088317,38142.94603411552,35.75793293893765,24.17196755805874,385.6324768066406,258.0,-33.09692115756024,0.0,712093.55,16.441301848612433
NKE,"Nike, Inc.",ok,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2025-11-04,61.22999954223633,11324,False,True,-2.2665633664127105,-5.6548565444627386,-9.19472154067832,-13.966557373112675,-18.457606947738235,-18.853028884260027,69.75650462116378,80.06499427902008,104.71998784496526,24.913350535549437,49135.801256861756,34.32088187102952,21.99846880327017,80.3541030883789,52.644737243652344,-23.799784716791113,16.30792126257436,12630446.05,-4.893928904434852
BX,Blackstone Inc.,ok,Financials,Asset Management & Custody Banks,2025-11-04,142.85000610351562,4623,False,True,-1.087101568574378,-2.8790258085177434,-4.991879702483426,-13.645024710160525,-14.899433572998833,-12.213552701820628,158.15084638253626,141.1872238037353,108.78973719116989,41.86975278252006,986.1425093779069,44.65227688454517,17.672708583934437,193.08673095703125,117.46630859375,-26.017699198965204,21.60934297982716,4534410.5,23.270930146267087
MHK,Mohawk Industries,ok,Consumer Discretionary,Home Furnishings,2025-11-04,110.6500015258789,8459,False,True,-0.49460021354071904,-4.273721748005954,-6.828899010163814,-12.300861431641364,-8.689551702243325,-17.591421758393842,119.2211555693729,120.6302197393543,131.22856705052078,85.6353390937523,1519.2683903423585,40.83424640278158,18.865803678910183,147.60000610351562,97.98999786376953,-25.03387740493909,12.919689701095747,848004.8,10.671071673179199
EFX,Equifax,ok,Industrials,Research & Consulting Services,2025-11-04,208.4600067138672,11504,False,True,-0.6576389859449527,-1.4373490714575943,-7.003924291466279,-12.164494541123727,-13.174807132592258,-20.781836092068552,250.47186832503968,251.40576790145295,225.120173460359,51.21114689463255,84405.29396631184,30.0201152307668,21.639000062931274,279.4390869140625,204.69354248046875,-25.40055544270509,1.8400503444107537,1356134.55,119.91851767215871
IT,Gartner,ok,Information Technology,IT Consulting & Other Services,2025-11-04,227.1699981689453,8077,False,True,-7.624430765943191,-8.54669736279713,-10.102888439894164,-11.410519573594103,-6.786758068716081,-54.792040165384016,402.056095077697,432.5642513191391,342.74527069869316,90.3516942795896,7389.003170812491,41.54178987391071,42.62722865021506,551.7999877929688,225.97999572753906,-58.83109764508044,0.5265963642379299,1024265.4,57.625943432239346
