Date,Open,High,Low,Close,Volume
2023-09-21,464.0871979085715,474.37020739302244,463.0447969053165,470.6138610839844,4703900
2023-09-22,468.6041478218162,478.39881281103914,467.693232800947,475.27166748046875,4558500
2023-09-25,477.3001380098725,479.8168830801874,475.7694223514009,479.19708251953125,2758500
2023-09-26,477.9386881319682,478.3894599714661,473.65645596199806,474.6612854003906,2420200
2023-09-27,475.3937672657787,475.5158244370167,470.529277435124,473.0460510253906,2593700
2023-09-28,475.14967423315085,482.8314248234372,474.248159072081,479.0281066894531,2922000
2023-09-29,478.7932912623216,478.8214627129472,473.1118003445478,473.4780578613281,3006200
2023-10-02,474.7364186745115,483.4793407509729,472.4920167404763,483.22576904296875,3550400
2023-10-03,482.0331208073928,482.6716927914724,477.39403089845706,478.4364318847656,3143200
2023-10-04,478.4551546118452,480.6432421274735,475.7505810031369,479.5163269042969,2801700
2023-10-05,480.4554924025252,486.64409845390685,480.0892635228695,484.78466796875,2790700
2023-10-06,484.9913507828087,493.9126746738607,484.5499502168844,492.84210205078125,3647200
2023-10-09,489.40498632970537,494.77653396978576,488.5597854941957,494.4384765625,2341600
2023-10-10,494.42907698761275,495.96919271196816,491.2174169808094,492.3067321777344,2455700
2023-10-11,489.1889114335265,493.574486548521,488.5409394718592,492.2033996582031,2819300
2023-10-12,492.52269736481594,496.3823866621219,490.4379527276575,493.52752685546875,2377300
2023-10-13,500.7678389352002,511.29501845261825,499.59398089737743,506.5432434082031,5245400
2023-10-16,510.092943919672,513.4736893503463,503.4629962277688,505.2566833496094,3827600
2023-10-17,507.05038951703835,509.3887058346379,502.0074993744989,503.9608154296875,2586000
2023-10-18,509.96142045858664,510.8441639022562,502.78684445219466,503.4066162109375,2551400
2023-10-19,504.1204742838583,505.547904253978,497.01158186079215,499.2466125488281,2351200
2023-10-20,498.65487274837113,501.87593218579025,494.6825556629236,494.9267272949219,2811100
2023-10-23,494.9267797877627,495.6310946544811,488.5972887056626,489.7993469238281,2357700
2023-10-24,491.0108181646537,498.34508240086336,490.2689603663804,493.0204772949219,1978200
2023-10-25,495.1521692675019,499.93208757134505,488.40013487520713,497.9130859375,2380100
2023-10-26,493.67774502667174,498.15714829762885,490.69145707360474,496.1756896972656,2675800
2023-10-27,493.95008137162256,495.5934826880909,489.5082207263578,492.7010803222656,2585600
2023-10-30,493.0203886607897,499.4249651591816,491.08587285702174,497.7064208984375,2555400
2023-10-31,502.4113086443109,503.9889671840345,499.23719149216515,502.93719482421875,2464200
2023-11-01,497.6971290225508,503.1908203661747,494.71084032604335,499.21844482421875,2747400
2023-11-02,499.59404113455054,504.13924522463213,494.85166555340504,503.47247314453125,2350900
2023-11-03,502.00746648899036,503.33155320617567,496.5889191578865,498.56103515625,2739500
2023-11-06,499.24660443099384,503.3692082842467,497.7628315818272,500.96514892578125,2684900
2023-11-07,502.74942636208897,506.7781448632046,499.14336564362793,505.0690002441406,2604800
2023-11-08,507.10668922502526,508.4214331980798,501.6036563166216,504.0358581542969,1769200
2023-11-09,504.8529194432116,507.9612937116156,501.9229739166257,506.16766357421875,1819600
2023-11-10,509.6234716802271,509.6234716802271,503.36918060441656,508.2430419921875,2480800
2023-11-13,508.18674620571664,511.00400605942895,505.1440574171767,509.5202331542969,1507900
2023-11-14,506.19577907270514,509.6140100708313,503.8292629593756,507.5386657714844,2454000
2023-11-15,507.15367158120057,507.5387291580966,499.3123219436833,505.6135559082031,2473700
2023-11-16,505.6135390380908,511.6706584480251,504.73079543226925,506.93768310546875,2360300
2023-11-17,507.36031467030864,507.59508631056667,496.15701887527194,503.6227111816406,2676900
2023-11-20,501.10595820508894,503.66970345219727,499.4062138490113,502.50518798828125,2518400
2023-11-21,505.01250506619573,508.67490758793656,501.6505597493153,506.7216491699219,2115700
2023-11-22,509.89578027859426,511.2387244414814,507.3508924923292,510.6376953125,2234500
2023-11-24,511.7363075967975,514.2343093355354,509.74544915998126,513.7741088867188,1135000
2023-11-27,513.7742647726654,517.333439730972,508.54360275989256,510.4781188964844,2675800
2023-11-28,512.3938107769518,512.5722395182927,507.17249173022844,507.6044921875,2859300
2023-11-29,497.7158842921802,508.8534373052844,496.44814034401463,502.39251708984375,4550000
2023-11-30,503.153181453885,520.1976259226376,501.4816371352172,519.2866821289062,7121200
2023-12-01,518.6553714405542,522.6884012244847,513.6989156368475,515.58349609375,3462200
2023-12-04,516.6200518068787,520.0217057413751,511.7012668890852,516.638916015625,2709200
2023-12-05,517.4114888755726,520.6435946421145,513.8779008778441,518.5045776367188,2645600
2023-12-06,515.960370003591,520.0310701777461,515.5268958486495,517.8167114257812,2239700
2023-12-07,519.5317292905723,519.6825279444224,513.0959280079126,516.6295166015625,2511700
2023-12-08,518.4668312144275,519.8896984674753,513.114630347981,518.0428466796875,2039900
2023-12-11,518.0335234397547,518.2596639092251,507.95100574840814,512.3043823242188,3655300
2023-12-12,514.3019618169767,515.8944345002492,511.33378229763673,514.2265625,2706100
2023-12-13,512.6058988458007,517.7130959255608,507.5081338706461,517.3267822265625,2876600
2023-12-14,512.8884937941408,513.4727090595193,498.84840570598556,503.4090576171875,5386800
2023-12-15,499.4138777067458,502.7118938802809,492.7801744508854,500.46923828125,9030100
2023-12-18,498.57510215792615,500.7988929959779,494.91901196046723,496.162841796875,3260300
2023-12-19,494.31597400671103,497.1710830172252,491.66814120581137,493.79766845703125,3645600
2023-12-20,493.6186527941164,494.5421362137718,486.0991960948929,486.1557312011719,3847800
2023-12-21,488.9355174675065,490.7635626584007,486.6928623102396,489.8778076171875,2491600
2023-12-22,489.877720158732,492.8270924017047,488.1250745963056,490.28289794921875,1759500
2023-12-26,489.8778595316548,491.38550092578504,488.07805294784794,490.01922607421875,1390800
2023-12-27,489.7553012028289,492.96848528073843,489.387794244447,492.6198425292969,1851800
2023-12-28,493.2605678162433,497.4066672342683,492.7611839731761,494.60809326171875,2001000
2023-12-29,495.62581138979726,497.7553965744625,493.68469575925724,496.0875244140625,2080100
2024-01-02,496.4361263098008,508.5162344087016,496.2758955884996,508.2147521972656,3415700
2024-01-03,511.70132924616985,515.2349180468392,508.3467779119146,510.7496643066406,2891400
2024-01-04,513.5481019198288,517.3172623008918,511.6635217292974,513.94384765625,2994400
2024-01-05,515.4328403733846,515.4328403733846,502.92862856570184,506.3680114746094,2815400
2024-01-08,508.27132584606585,509.0722494620233,497.5291952169335,505.5575256347656,2648900
2024-01-09,506.9522299593658,508.46930368460096,501.6094595501926,507.3008728027344,2677000
2024-01-10,507.04636226491937,509.96749655767235,505.2089422813618,506.6129455566406,2180000
2024-01-11,505.1900376213991,508.9874371312358,503.68239634206094,508.53515625,2814100
2024-01-12,488.91660463562334,497.981430372994,483.5173010190388,491.4136962890625,6327300
2024-01-16,493.4868744326972,494.231263066155,486.7400436677329,489.1900329589844,3736700
2024-01-17,491.1970865148402,500.03571610104586,489.99092739509274,494.6458435058594,3791300
2024-01-18,476.0732558907221,487.0132593259383,468.7516431279427,486.5421142578125,7367000
2024-01-19,485.2794668017401,487.68229537751256,472.8600885140625,474.4996643066406,6143400
2024-01-22,474.8576623073565,483.9319203232053,467.84702185458167,483.3853759765625,5922900
2024-01-23,482.923735360419,488.18173086559426,482.52798957356987,485.76947021484375,2672900
2024-01-24,488.01210882991415,491.6210388219306,483.34776092102936,483.611572265625,2918800
2024-01-25,459.4513210820292,466.91427286465415,451.35705090590636,464.926025390625,14671000
2024-01-26,464.8128996534255,474.62214389515844,461.6279542384266,474.1604309082031,6212200
2024-01-29,474.0755684591048,477.27937787216024,472.22868787574316,475.4230651855469,4554100
2024-01-30,475.4230435210499,476.8458819830193,470.4100534096638,474.54669189453125,4931200
2024-01-31,475.39487087108233,485.27948655041513,475.39487087108233,482.2076110839844,5358100
2024-02-01,479.46549079393,480.77528792305253,473.971951798668,477.873046875,4242600
2024-02-02,478.91898409476954,483.31003102893146,476.22404798243065,480.78472900390625,3804500
2024-02-05,480.53029645594813,484.525626409386,471.19219723752656,473.93426513671875,3646300
2024-02-06,474.85774764633925,481.45377935134536,473.4537443854697,481.1993713378906,2745400
2024-02-07,484.34658144161574,490.93318055448816,483.1027515106485,489.4161071777344,4109100
2024-02-08,490.58456064184486,492.02623476825295,487.42791141768424,490.07574462890625,3343000
2024-02-09,489.03914992620344,490.3583791256334,486.4949550489176,488.3135681152344,2715400
2024-02-12,488.313576724646,489.0391585484077,483.21581228958195,487.76708984375,3194000
2024-02-13,491.8754921723604,496.5209760302264,484.53507210298955,487.0226745605469,3436000
2024-02-14,485.5244727440733,488.6057801979453,484.61042131499335,487.1075134277344,1918500
2024-02-15,487.4844427543317,491.63991727655343,486.03327902210333,490.82012939453125,2292100
2024-02-16,492.1581641892799,493.56216739729956,488.9449798852962,491.4514465332031,2135500
2024-02-20,493.95798333033764,495.0510146940529,489.4349442054743,490.98974609375,2600200
2024-02-21,493.4490115118471,493.46787571684,487.6727689378946,491.84710693359375,2095900
2024-02-22,493.9485581471052,496.3419546658299,488.66232367342826,496.1158142089844,3186800
2024-02-23,496.35124487746435,499.8848322876029,493.91068853388964,496.8129577636719,2502000
2024-02-26,497.8308076074436,502.0616817623887,494.05221438276993,495.0039367675781,2308900
2024-02-27,494.4761838899011,495.25830081099167,482.4996554859878,483.79058837890625,3780600
2024-02-28,466.84828269181793,469.7787915595296,456.43598695571995,469.5243835449219,9558600
2024-02-29,469.73168789223143,472.7941311934345,463.2298909424988,465.1144714355469,6833200
2024-03-01,461.1756892720987,461.74104039546876,449.70800471282223,461.2793273925781,7315000
2024-03-04,455.35227320907666,458.93299295684506,452.3934971542767,454.06134033203125,5239800
2024-03-05,454.55135442227515,455.031902839298,443.4605810707467,445.8445739746094,5296200
2024-03-06,447.0601655004601,452.1108271774242,441.1708517410813,445.32635498046875,5577500
2024-03-07,446.6455730485128,453.4206421638337,446.26866270439643,451.14971923828125,5102000
2024-03-08,452.50247326735814,458.102834509651,449.1346984146184,450.8375244140625,4673600
2024-03-11,451.2442682135478,463.8355891952076,450.29826345838313,462.73822021484375,4410100
2024-03-12,461.77330225188905,465.6992161820619,461.03541970325364,462.92742919921875,4153800
2024-03-13,466.8722964105994,469.21839879770744,459.1245144918374,461.6503601074219,3669000
2024-03-14,462.33149430687126,463.23965088495174,458.9920983205041,462.59637451171875,3378500
2024-03-15,461.13008345528755,464.6965114067996,461.13008345528755,464.318115234375,5713500
2024-03-18,465.5290205696399,465.5290205696399,460.1178713460999,460.7516784667969,2970500
2024-03-19,463.23022393603134,466.7966519531665,461.4517301361561,466.6831359863281,2511700
2024-03-20,465.87899809698206,467.8939929967458,463.0126046272582,467.5439758300781,3548200
2024-03-21,465.69931377030235,469.4076658621872,464.7533088240825,465.14117431640625,3693400
2024-03-22,468.46162164701417,469.05758046256113,463.3247932786042,463.6086120605469,2847300
2024-03-25,464.1099187987321,464.94240756681916,457.9325091666258,459.644775390625,2786100
