Date,Open,High,Low,Close,Volume
2023-08-14,278.27683331403574,278.3155422055432,275.5871411158128,277.28997802734375,234400
2023-08-15,276.4193172023874,277.25136674220573,272.59761741044804,272.7137145996094,272500
2023-08-16,272.2866245411696,275.3726528493913,271.69466909051334,271.8208312988281,279600
2023-08-17,272.26731780228266,274.2470285937458,263.44599992629725,263.552734375,413800
2023-08-18,261.145993884354,261.145993884354,257.2933372846221,258.7101745605469,516200
2023-08-21,259.1274619597941,259.64179513398193,255.61446598339325,258.089111328125,416500
2023-08-22,257.5068679627958,259.8844338075509,251.3057275048845,251.85888671875,389200
2023-08-23,251.91708684190513,253.63475887224797,249.9082643825842,253.518310546875,476400
2023-08-24,252.35378438431673,255.2359987476538,251.22806793910135,252.08206176757812,268300
2023-08-25,253.0428386473679,253.17871478962232,247.45309613307063,251.6162872314453,302400
2023-08-28,252.3925761744836,256.32288457085355,252.3925761744836,254.84779357910156,191400
2023-08-29,254.28493230236737,258.71014573551565,253.2853781632032,258.39959716796875,183500
2023-08-30,259.2730470775093,260.1949493678611,255.78913363241293,256.303466796875,273500
2023-08-31,256.6625639580044,258.42874625584403,255.19718675765722,255.24569702148438,347700
2023-09-01,257.59420522234603,261.9417973666963,257.59420522234603,260.6510925292969,308300
2023-09-05,258.26380258293136,258.4773010640842,247.40455135831866,250.24794006347656,384600
2023-09-06,249.50067077079194,251.82972589643657,245.97796119606593,246.1526336669922,449600
2023-09-07,246.12350597299803,247.12306009171536,240.53376514143378,240.92193603515625,630500
2023-09-08,240.92198205848268,246.12355298998054,240.91228296700646,243.93035888671875,614700
2023-09-11,255.24567533217663,271.41324457935883,253.95500034548192,270.1419677734375,1064700
2023-09-12,268.2302062625687,273.02419288722916,265.0665849694264,272.3836975097656,753400
2023-09-13,271.7819686442808,275.0038430081868,267.5217439074278,269.3267517089844,627100
2023-09-14,270.3943072108581,271.28709742468357,264.76572484209913,266.2699279785156,543800
2023-09-15,263.9700274488919,267.0075166778475,258.5064323968792,261.3207092285156,1283700
2023-09-18,261.9417833935526,266.6484045820396,260.22408166862596,262.30084228515625,626200
2023-09-19,262.46571115132315,265.24119041892027,259.2050405434031,263.87286376953125,288500
2023-09-20,265.69735875971634,267.4635409264736,257.5262230036674,258.3511047363281,242500
2023-09-21,256.74985678799936,256.74985678799936,248.19055091555714,248.3458251953125,431900
2023-09-22,247.10370428056765,248.56908149232828,246.23029740828312,246.77374267578125,298600
2023-09-25,247.50156774191362,249.5395170563131,245.75478365940205,248.12265014648438,197300
2023-09-26,240.86372095724965,247.65681550773968,240.34938784019138,245.9585418701172,375600
2023-09-27,247.72479548017023,248.1906036105648,244.25061047381092,247.52099609375,325100
2023-09-28,247.9964980374937,253.89678817311042,247.9964980374937,251.72300720214844,231800
2023-09-29,253.4212681905381,255.46888683824434,250.9369091292113,251.59683227539062,333900
2023-10-02,250.96604578971332,252.85841994601287,243.67804492894632,244.28941345214844,291500
2023-10-03,243.31896755740757,246.27881921555183,242.6784869622168,243.7071533203125,255800
2023-10-04,245.26957721902053,248.39440241836138,240.9802242925192,248.20030212402344,232000
2023-10-05,247.86062513389373,251.97529024091946,247.51126537879045,250.50022888183594,255800
2023-10-06,249.39393765896432,256.82752864837715,243.5712991229668,254.5760955810547,292700
2023-10-09,253.1204235634077,256.6237352718348,251.625963912958,256.3908386230469,132000
2023-10-10,258.30259817635545,259.48653877517694,254.69255222056748,255.58534240722656,249300
2023-10-11,255.54655936745434,259.6612548828125,254.1297218932736,259.6612548828125,154200
2023-10-12,258.21525218024334,258.21525218024334,249.70448459506758,250.33526611328125,294800
2023-10-13,250.36435464089578,253.46978129069925,246.43407587632444,248.6466827392578,188600
2023-10-16,251.92679109693648,257.3030489650324,250.5196381162732,256.27435302734375,263100
2023-10-17,254.53731137184502,261.67006798172974,254.53731137184502,256.9245910644531,301500
2023-10-18,253.7221298448255,253.7221298448255,247.41424061750394,249.13192749023438,210900
2023-10-19,248.14207687788587,249.39394084738103,239.01992577913077,239.33045959472656,377000
2023-10-20,239.6700999768853,239.71862504614356,237.11783237317712,238.9034423828125,278100
