Date,Open,High,Low,Close,Volume
2023-06-12,253.3517116086632,254.6960711891467,249.6369961746154,254.44842529296875,1050400
2023-06-13,252.0531977071557,256.8348664685286,251.06109444970357,254.74343872070312,956400
2023-06-14,254.72552063126662,256.38792672615534,251.32024480068188,253.93899536132812,691600
2023-06-15,254.55568813434454,258.16654155956405,252.6072679929583,257.0850830078125,659200
2023-06-16,257.6660098037507,262.72477186925283,256.3074564171184,256.6024169921875,1799800
2023-06-20,255.75340763767278,256.1466703535869,251.18623589377447,254.74343872070312,907400
2023-06-21,255.09197845158317,258.1844281007775,252.73240257417854,257.1923522949219,765500
2023-06-22,257.54980864785324,257.8894469863104,251.4274539186183,253.2060546875,755000
2023-06-23,253.3938011724517,257.0403860219024,251.52581733324823,253.4563446044922,2127300
2023-06-26,253.08096469304138,258.55980184960003,252.56256067150707,258.1575927734375,804200
2023-06-27,258.9351518669283,260.4277658370518,257.41575305462396,258.7474670410156,813700
2023-06-28,258.5418364414427,259.42669070578535,255.9588453505705,258.40777587890625,926800
2023-06-29,256.6024593713346,258.041422074156,254.27864207297463,257.9341735839844,691200
2023-06-30,259.57871193511147,261.4824544473843,256.2717653202558,260.87469482421875,1404000
2023-07-03,260.02558852524623,263.4219451143994,258.81006932705947,261.86676025390625,363900
2023-07-05,261.3036405007492,262.5638645686411,256.2627715049876,260.9014587402344,807800
2023-07-06,258.2290975942689,260.38306811003724,255.51201803331844,260.04345703125,816200
2023-07-07,256.9063015762095,258.7474731234517,255.92314510054442,256.5934753417969,740300
2023-07-10,255.6549872014313,260.06128414164436,254.2785683331587,260.0076599121094,785500
2023-07-11,260.2400613096873,263.0554425884662,258.40780913322783,262.644287109375,523900
2023-07-12,264.55699545027693,267.837156685762,263.4308319440886,264.8072509765625,689000
2023-07-13,264.1995315043788,267.14005484086806,262.5370981110399,267.0774841308594,445800
2023-07-14,267.2473015478674,270.3576167859482,265.83512372816415,269.5979309082031,552200
2023-07-17,269.49063970546626,270.56317906972237,268.1321134831098,268.6415710449219,510500
2023-07-18,269.03479792298015,269.3118655547105,261.7952263654396,263.1001281738281,720700
2023-07-19,262.93925612642715,269.3386783404859,261.76841489890217,261.83990478515625,697500
2023-07-20,261.26791547387603,261.73266794468685,256.8973493072675,258.327392578125,776200
2023-07-21,258.9709492239531,261.0802422236037,257.67496635029926,260.7406311035156,819600
2023-07-24,262.23324102375494,264.2889372355329,260.9730166274969,264.2442321777344,1067800
2023-07-25,264.5927877135665,265.6027564118613,261.33051899200024,262.51922607421875,719500
2023-07-26,262.35830914721424,267.1668154603918,262.35830914721424,264.17266845703125,539800
2023-07-27,264.58385124931016,265.90664626423677,257.3979024141762,257.7017822265625,631300
2023-07-28,258.8547411317554,259.2837623378226,251.55262509379455,251.62411499023438,785000
2023-07-31,252.2497609409949,254.19818105902968,250.2834478924588,251.82073974609375,1185400
2023-08-01,252.50892163288836,253.82276998866192,248.88914926280162,249.67567443847656,579200
2023-08-02,248.3528967129133,250.25663908148402,247.06586038700095,249.15728759765625,1031800
2023-08-03,255.78014291953585,257.5676902636251,250.22981605336494,256.49517822265625,1606600
2023-08-04,253.05414299389898,254.19817219794703,244.07170126469737,246.4044647216797,2402700
2023-08-07,246.87816845343204,253.50998119995097,246.87816845343204,252.9468994140625,1018100
