ticker,sector,last_close,pct_1d
LULU,Consumer Discretionary,167.8000030517578,-18.579258560107515
KVUE,Consumer Staples,18.6200008392334,-9.3476143656961
AMD,Information Technology,151.13999938964844,-6.582603583924618
IBKR,Financials,60.15999984741211,-6.409457078601754
SCHW,Financials,92.05000305175781,-5.715450536351218
FAST,Industrials,47.9900016784668,-4.535505785826488
AMP,Financials,489.2799987792969,-4.418830901912784
TPL,Energy,889.1900024414062,-4.278039308420222
WFC,Financials,78.95999908447266,-3.507274449910691
GWW,Industrials,993.469970703125,-3.36177520197416
RJF,Financials,165.5,-3.267284153101957
ALL,Financials,201.52999877929688,-3.2640536610143545
JPM,Financials,294.3800048828125,-3.1071036185357115
AIG,Financials,79.20999908447266,-3.083328238046812
EOG,Energy,117.93000030517578,-3.018090637333648
TROW,Financials,108.16000366210938,-3.0129062787825456
BEN,Financials,24.969999313354492,-2.9914547964668525
COP,Energy,92.94999694824219,-2.9445544467692986
APA,Energy,22.75,-2.943688218159668
PRU,Financials,105.70999908447266,-2.875778536137563
