ticker,status,sector,industry,last_date,last_close,data_points,rising_3day,declining_3day,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
TTD,ok,Communication Services,Advertising,2025-09-12,45.150001525878906,2257,False,True,False,False,-0.19893932194685604,-13.835877459697066,-13.289798750725101,-16.942602982088328,-36.02096964556127,-54.718682238048586,88.51758970587377,85.9658946270497,74.96408838527218,48.28472286724231,1400.0000554461812,69.50370672224123,23.812635651892265,139.50999450683594,45.150001525878906,-67.63672618188902,0.0,13428705.0,46.74088082208969
NFLX,ok,Communication Services,Movies & Entertainment,2025-09-12,1188.43994140625,5865,False,True,False,False,-1.251355097112583,-5.922031157233332,-4.452413313360893,-1.328418250670027,-2.1884305119612923,76.42587067201009,1006.2704754711622,781.1877920708173,563.9841713510501,184.15929395383174,99232.25684893767,54.937935846490326,46.182448341031126,1339.1300048828125,681.469970703125,-11.252833027944096,74.39358922595592,2714715.0,39.22640129811048
BA,ok,Industrials,Aerospace & Defense,2025-09-12,215.94000244140625,16032,False,True,False,False,-1.8409941136547037,-5.916696400429656,-5.953572637344884,-7.468823345104292,5.98282328412576,34.90347508014033,183.280159148562,188.8887873018238,194.60337587222932,51.34413907323925,112998.50793980811,34.01781323192438,32.63958943273509,237.3800048828125,136.58999633789062,-9.03193276619509,58.09357070866514,6684380.0,65.75359270418497
EL,ok,Consumer Staples,Personal Care Products,2025-09-12,83.6500015258789,7503,False,True,False,False,-3.6401291574532757,-5.693343400349871,-6.221968175159953,-11.851366254125672,19.97485207456706,0.09467031678405124,75.72037803984259,99.80234786956969,189.06948330144215,68.27191569025669,1235.8677543468855,32.27032042944786,32.633902382811485,98.93425750732422,49.61482238769531,-15.448901489268064,68.59881281490684,4162685.0,-22.093552598863475
BSX,ok,Health Care,Health Care Equipment,2025-09-12,102.70999908447266,8389,False,True,False,False,-1.5621979208619519,-4.977331331014234,-4.206306738373389,0.20487715558308306,4.210634769356347,23.657599450345558,97.54669326235098,81.68206758290589,58.6002468060536,22.755029709038737,2299.0656720460765,37.774136612455614,35.486569502751266,108.13999938964844,82.5199966430664,-5.021269036270738,24.466799882138236,6645925.0,58.62050805568826
VTRS,ok,Health Care,Pharmaceuticals,2025-09-12,9.960000038146973,11467,False,True,False,False,-2.0648971147648076,-4.688993110638362,-5.14285677955264,-3.2365459474173464,10.814902764691393,-6.530620573629598,10.05035120177554,10.121117571950196,10.494106851185963,12.22048210217708,872.2507792793102,45.064162223279915,24.444485260094993,12.871208190917969,7.077159881591797,-22.61798666907718,40.734421784841274,8383530.0,45.146495569288824
AMZN,ok,Consumer Discretionary,Broadline Retail,2025-09-12,228.14999389648438,7127,False,True,False,False,-0.7827802024989672,-4.235229753203306,-1.7991683818820436,1.5986802533491717,6.992115934736409,27.06766361386077,209.64207197090545,187.48363833114593,159.1819571659064,43.99378467747405,232903.46071513003,55.53904756361065,49.1483556219829,242.05999755859375,167.32000732421875,-5.746510700820064,36.35547687635128,34636195.0,11.003821291570848
MGM,ok,Consumer Discretionary,Casinos & Gaming,2025-09-12,34.54999923706055,9413,False,True,False,True,-2.2354298588464827,-4.027779897054041,-5.806982143930561,-5.212624104553476,4.254676745264319,-0.9176934460173314,35.11179270497356,38.115387611313324,38.16480908879809,20.134911199235567,1237.7102351543151,48.44281640743881,25.385669787265016,41.9900016784668,25.790000915527344,-17.718509511805074,33.96664602775987,4032555.0,29.61013550962106
VLO,ok,Energy,Oil & Gas Refining & Marketing,2025-09-12,156.72000122070312,11013,False,True,False,False,-0.5520624007897879,-3.1576348962080836,-0.03189580302039863,15.108342450502231,18.35284600812157,18.93782342019015,131.3458699078199,134.74452849553072,104.87093456535582,25.172921730735304,9945.50486991974,41.9279418975538,75.92507653786743,161.8300018310547,102.96765899658203,-3.1576348962080827,52.20313130155303,2472350.0,-33.56118672518049
BG,ok,Consumer Staples,Agricultural Products & Services,2025-09-12,81.62000274658203,6064,False,True,False,False,-0.3905292717718001,-3.0065344425677987,-3.2135645981626104,-1.0868055728915582,6.8873687312020815,-12.152966099711637,79.75612907865607,88.53315490661986,84.02605848555352,51.905177116551314,725.5345443005558,33.51063153630902,30.378846668778976,96.94945526123047,67.22736358642578,-15.811798501954655,21.40890017448541,2003985.0,-40.069411697193345
