ticker,status,sector,industry,last_date,last_close,data_points,rising_2day,declining_2day,rising_7day,declining_7day,pct_2d,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
FDS,ok,Financials,Financial Exchanges & Data,2025-09-19,289.1499938964844,7354.0,False,True,False,False,-13.953699992889156,-4.010230272305781,-16.234539861690898,-20.088990486703253,-25.18860434717555,-31.335199447775064,-34.86829772486787,439.6223060638306,436.5719552315016,401.3689989466576,131.69125309660282,8256.151910469962,33.995405301116435,14.554009555992565,490.92803955078125,289.1499938964844,-41.10134875142431,0.0,650235.0,173.91635331841564
DXCM,ok,Health Care,Health Care Equipment,2025-09-19,67.44999694824219,5142.0,False,True,False,False,-11.760865000043918,-10.992348858852774,-11.887662626692297,-11.50617178169081,-17.411536108139924,-15.687503814697267,-2.1613075723785347,78.22306773577078,93.89208739415315,102.13229302388088,35.47175904929939,2198.126005561855,54.9812857594736,33.55565322422146,90.75,59.83000183105469,-25.674934492295108,12.736077024875422,5696815.0,265.74120802588817
DRI,ok,Consumer Discretionary,Restaurants,2025-09-19,184.72999572753906,7643.0,False,True,False,True,-11.523539600684373,-4.155862580334468,-12.05008492078673,-13.113214243344995,-10.969207751249899,-17.6088048073341,17.921855663776842,190.4974219333603,168.87014964655427,141.79468571608234,46.16856045207007,5832.163530643429,35.40841192431309,19.16133004456448,224.21084594726562,152.5707244873047,-17.6088048073341,21.07827130552187,1356590.0,145.80013121134613
SPGI,ok,Financials,Financial Exchanges & Data,2025-09-19,507.1600036621094,13258.0,False,True,False,False,-6.789188307543615,-0.1260307495557278,-6.305303210973223,-6.811454373519066,-8.794134108351258,0.7624018538427313,-2.216682537672654,512.0860533695297,470.18741566713004,406.923233615365,67.51087630980716,153323.70502199372,29.56207251547379,27.12260568928174,563.1683349609375,436.734375,-9.945220251545745,16.125506187166827,1275625.0,225.1268985791279
HUM,ok,Health Care,Managed Health Care,2025-09-19,252.66000366210938,11019.0,False,True,False,True,-6.210330775682726,-4.606200394242055,-7.219448859188137,-8.602227814094032,-12.875860806169182,5.832375248980504,-17.887742187463584,262.98530979840405,326.87174193001175,394.79706669461194,94.51918280307497,13073.017048192083,38.809400031627014,19.64285714285714,315.3685607910156,220.41000366210938,-19.88421324294946,14.63182226948263,1925655.0,157.29946433810835
MCO,ok,Financials,Financial Exchanges & Data,2025-09-19,480.739990234375,7774.0,False,True,False,False,-6.063270501480678,-0.3275868854392461,-5.366143654650591,-6.162286013285934,-6.643367542809653,2.4698645843924005,0.3268143898703668,479.881934420521,434.45310776939925,358.8560778259472,101.52057426497781,7317.636523867536,32.31968371710882,33.18655671386338,524.5271606445312,395.2209167480469,-8.34793194624111,21.638296421655863,731290.0,175.28066840788193
JKHY,ok,Financials,Transaction & Payment Processing Services,2025-09-19,151.97000122070312,10035.0,False,True,False,False,-4.887969469433817,-1.6184372242142087,-4.463447398379938,-5.089928893964569,-6.888594436990692,-14.451153738386557,-12.353714305577734,173.4959706462237,166.96704417052374,164.0355698530841,44.36197533738156,63775.755973319894,48.20130266143927,26.886136637089763,189.98756408691406,151.97000122070312,-20.01055334801753,0.0,867620.0,297.9622415343123
FICO,ok,Information Technology,Application Software,2025-09-19,1477.2099609375,9615.0,False,True,False,False,-4.808516218290981,-2.949215910154457,-4.913299702984297,-4.3288809155735635,9.902461631599602,-18.15194839934975,-21.610549538931846,1853.3732681578374,1567.3970997015952,945.8519673438589,166.61115473463582,122031.1723512458,48.5918407829756,42.237123582469,2382.39990234375,1311.260009765625,-37.994878211493585,12.655762391589823,323300.0,60.903185895453134
CTRA,ok,Energy,Oil & Gas Exploration & Production,2025-09-19,23.280000686645508,8969.0,False,True,False,False,-4.511888892478966,-3.3623887953996845,-5.173110345754539,-4.433497112668872,0.2152438458651984,-12.890612761262854,4.705618030734771,25.02767994489328,24.996574041620637,21.788096027009807,9.394418041766427,2478.9437263646873,39.09463057933356,36.12439208915083,29.06199836730957,21.943883895874023,-19.895389186890707,6.088789008871426,5907685.0,202.96131225683158
CTSH,ok,Information Technology,IT Consulting & Other Services,2025-09-19,66.94000244140625,6856.0,False,True,False,False,-4.412389535560191,-4.725305428239112,-3.223934923479943,-3.223934923479943,-5.036169002620882,-10.907956045152222,-10.795710163021733,76.66414235027663,73.29869030294552,70.12042710128104,34.16735188307647,35984.9278729989,46.5202078838061,28.326567573930305,89.64715576171875,65.92374420166016,-25.329474345698028,1.541566323413562,4331870.0,236.18968251586497
