ticker,status,sector,industry,last_date,last_close,data_points,rising_7day,declining_7day,pct_1d,pct_3d,pct_5d,pct_21d,pct_63d,pct_252d,avg_1y,avg_2y,avg_5y,avg_max,cum_return_from_start_pct,ann_vol_pct,rsi,52w_high,52w_low,pct_from_52w_high,pct_from_52w_low,avg_volume_20d,volume_vs_avg
BLDR,ok,Industrials,Building Products,2025-09-25,116.91000366210938,5094,False,True,-1.9622610799921336,-4.022653308179692,-9.322880397502542,-18.055649286776998,0.8018626299860276,-40.29416009408535,143.86772867027983,152.9083497216166,102.2337418787039,32.93097536807019,769.3308155939576,67.0898156879922,14.047190150947202,198.25,105.62999725341797,-41.0290019358843,10.678790781021636,1964176.75,-1.651671622729467
SPGI,ok,Financials,Financial Exchanges & Data,2025-09-25,484.94000244140625,13262,False,True,-1.1818861124806013,-4.080543660411918,-4.5017695748513,-12.199450316718218,-5.676421827040256,-6.267565415041931,511.71077153787195,471.1448216826968,407.43647873021996,67.63966269125058,146601.8788736369,29.55975946083224,23.445318564154647,563.1683349609375,436.734375,-13.890754799798415,11.037745183535472,1451125.2,13.705144118508873
CPAY,ok,Financials,Transaction & Payment Processing Services,2025-09-25,292.17999267578125,3717,False,True,-1.3671870372154116,-2.580694987137988,-4.2880062924575135,-10.145468336453723,-10.385233401340487,-6.310521900908772,339.24549883960253,308.1456067367766,266.5904619374852,185.34500951820849,972.2201566083716,30.927286360164256,28.410120815416548,389.54998779296875,283.07000732421875,-24.995507166832724,3.2182799716849666,416863.95,-14.26963161482302
LII,ok,Industrials,Building Products,2025-09-25,516.1799926757812,6581,False,True,-1.1982255831045618,-3.3063004793700057,-4.718130102881202,-9.064005032231016,-8.351466149097098,-15.756054450256773,592.5543101033367,531.2466030234608,376.8096886288588,125.12654055441935,4201.780276284739,34.808793544222375,19.012347641500213,674.1555786132812,506.5032653808594,-23.433105198424858,1.910496527134049,391202.15,30.250562273239034
BMY,ok,Health Care,Pharmaceuticals,2025-09-25,43.40999984741211,13442,False,True,-1.6983695710858338,-3.490439552694935,-4.802628728051062,-8.049140670943933,-5.718074144025021,-9.111848531554834,51.45738802298132,48.56953716088479,54.43942548059354,16.971728410795187,14632.683614907764,26.33549080830627,18.010242773492322,61.620582580566406,43.310001373291016,-29.552759760660653,0.23089002759247693,12498270.9,50.4441546390229
SHW,ok,Materials,Specialty Chemicals,2025-09-25,340.1000061035156,11476,False,True,-0.83391224131667,-1.821540224556728,-2.706256871824253,-7.19314139775441,-0.3022851559022932,-10.189089394615113,354.90327009831765,330.1109476563471,282.188117422116,53.77999978790137,230462.33335447992,28.958524516401802,23.232327315892647,397.1065979003906,312.1487731933594,-14.355488450276118,8.954458678215586,1827136.45,-28.4219303927739
DECK,ok,Consumer Discretionary,Footwear,2025-09-25,105.83000183105469,8041,False,True,-4.854806583571225,-6.527114741186846,-8.316727409460679,-6.913537199018416,3.826156690083793,-31.372805120604387,141.14071709986226,138.2365375010678,91.79777330957401,19.909425440207894,8558.820114543028,61.054192746557014,19.24864182986876,223.11000061035156,95.31999969482422,-52.565998143722595,11.02601990125809,2589330.15,3.9034361840648346
PG,ok,Consumer Staples,Personal Care Products,2025-09-25,152.14999389648438,16041,False,True,-0.17714491254727793,-0.6010409510111892,-3.286303831069348,-2.449193623338697,-3.429060377042359,-10.22781331984075,162.6399356796447,158.11987884096786,142.71022797238294,28.575285494111103,60812.54788745183,21.280388260844123,28.532470029809957,176.2987823486328,150.47000122070312,-13.697649031060202,1.1164967516130386,7173289.0,4.607245016895312
LOW,ok,Consumer Discretionary,Home Improvement Retail,2025-09-25,255.52999877929688,11476,False,True,-0.6994862188217099,-1.8664371119231693,-4.49976014327077,-1.0838802843298523,16.118533386928014,-0.6926083468094202,243.6425459660382,231.11317443847656,205.66927819950564,39.89862698046494,94609.39791093222,35.316657893737215,27.96093080448634,278.6591796875,209.4647216796875,-8.300168303854605,21.99190237392442,2738435.15,-18.661466202696086
T,ok,Communication Services,Integrated Telecommunication Services,2025-09-25,28.299999237060547,10544,False,True,-0.07062308608473122,-2.1438479861610404,-3.0821969259027693,-0.9103649640886169,2.0813382694301774,37.87061319614678,25.387711543960876,20.8121209514307,17.669292578272,7.492326675009757,10672.41833707392,24.63371188457545,32.033433287500344,29.6200008392334,20.528839111328125,-4.456453628537489,37.854844512099945,29830488.5,-31.50608311359031
BIIB,ok,Health Care,Biotechnology,2025-09-25,135.6699981689453,8568,False,True,-1.4527493474254638,-3.5475653087219783,-5.6602458298018465,-0.7679952036153237,6.894106623254692,-30.71344677978063,143.839402278581,185.8030617867502,233.1688295230744,124.02010995943715,4241.43994140625,56.284989372628935,40.537465491550485,194.6699981689453,113.37999725341797,-30.307700495685296,19.65955323292741,1680374.75,-27.403396176953976
