ticker,sector,last_close,ann_vol_pct
NVR,Consumer Discretionary,8502.0,420.07154961469826
HUBB,Industrials,436.0400085449219,123.86517089879004
COIN,Financials,299.07000732421875,87.62432191529173
APP,Information Technology,490.239990234375,77.87968447172904
MNST,Consumer Staples,62.459999084472656,77.57087563881043
HOOD,Financials,101.25,74.15705913430651
MRNA,Health Care,25.139999389648438,72.32329018661055
PLTR,Information Technology,153.11000061035156,72.02951247898861
TTD,Communication Services,52.06999969482422,69.457523399331
BLDR,Industrials,149.2100067138672,67.13646218161489
UAL,Industrials,106.58999633789062,64.0303919073594
REGN,Health Care,573.3800048828125,63.447672871271244
SWKS,Information Technology,75.19999694824219,63.27308516418299
INCY,Health Care,86.63999938964844,62.64046438568214
AKAM,Information Technology,78.55999755859375,62.52264803548434
SMCI,Information Technology,40.40999984741211,61.54268507853475
DECK,Consumer Discretionary,120.4000015258789,61.09195447314435
ON,Information Technology,49.11000061035156,60.749391173599456
BKNG,Consumer Discretionary,5505.7998046875,60.291059654661936
AXON,Industrials,728.4099731445312,60.232910366262615
