ticker,sector,last_close,pct_1d
AVGO,Information Technology,334.8900146484375,9.405425668363353
MU,Information Technology,131.3699951171875,5.7644280536911285
POOL,Consumer Discretionary,333.0899963378906,5.4749870846280135
SWK,Industrials,78.41999816894531,4.923736165852466
ORCL,Information Technology,232.8000030517578,4.394620202581989
CPB,Consumer Staples,34.029998779296875,4.194730368295829
BLDR,Industrials,149.2100067138672,4.146019588378014
LW,Consumer Staples,58.0,3.9985646834003186
BG,Consumer Staples,84.33000183105469,3.9442927227535396
IT,Information Technology,245.91000366210938,3.87783893053244
EFX,Industrials,249.6699981689453,3.769738917432708
KLAC,Information Technology,905.0900268554688,3.64140773720516
TSLA,Consumer Discretionary,350.8399963378906,3.6363092201525005
BAX,Health Care,24.420000076293945,3.562341625554466
MRNA,Health Care,25.139999389648438,3.5420044426767605
ALGN,Health Care,139.1199951171875,3.28136471350009
DDOG,Information Technology,136.0800018310547,3.2630164604564804
FTNT,Information Technology,78.83000183105469,3.126634371159853
CARR,Industrials,65.51000213623047,3.1004110675448837
LII,Industrials,578.0499877929688,2.9713010707491216
